topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,2,2g,4,3,4g,0.6,0.7,false,true,32k,16m,true,64m,snappy,128,true,25.3035,0
4,2,4,large,1,3g,3,4,2g,0.8,0.6,true,true,64k,8m,true,80m,snappy,192,false,31.908,0
4,2,4,large,1,1g,3,2,2g,0.7,0.4,false,false,112k,6m,false,96m,snappy,128,true,33.0635,0
4,2,4,large,2,2g,4,4,1g,0.3,0.7,true,true,128k,24m,true,88m,lz4,192,true,25.3655,0
4,2,4,large,2,2g,2,4,3g,0.4,0.6,false,false,128k,8m,true,80m,snappy,160,false,25.8415,0
4,2,4,large,1,3g,3,2,1g,0.4,0.7,false,true,80k,18m,true,48m,lz4,128,false,31.6165,0
4,2,4,large,1,4g,3,2,2g,0.4,0.6,false,true,128k,22m,false,64m,lz4,128,true,31.604,0
4,2,4,large,2,3g,4,3,1g,0.7,0.8,false,true,32k,6m,true,88m,snappy,128,true,26.2875,0
4,2,4,large,1,2g,4,4,4g,0.7,0.5,true,false,64k,8m,false,88m,lz4,256,true,33.089,0
4,2,4,large,1,1g,3,4,1g,0.3,0.8,false,true,96k,4m,true,96m,lz4,256,false,32.0585,0
4,2,4,large,1,3g,4,4,2g,0.4,0.4,true,false,80k,8m,false,72m,lz4,224,false,31.593,0
4,2,4,large,1,3g,4,3,1g,0.8,0.5,false,true,112k,6m,false,48m,snappy,192,true,31.416,0
4,2,4,large,1,2g,2,4,2g,0.7,0.8,false,false,128k,18m,false,56m,lz4,192,false,32.9525,0
4,2,4,large,1,3g,2,3,1g,0.5,0.6,true,true,80k,6m,true,48m,lz4,256,false,31.4695,0
4,2,4,large,2,2g,4,2,4g,0.7,0.6,true,true,112k,14m,false,56m,lz4,128,false,26.2225,0
4,2,4,large,1,4g,2,4,2g,0.6,0.3,true,false,112k,10m,true,80m,lz4,160,true,32.1325,0
4,2,4,large,1,1g,2,1,2g,0.5,0.7,false,true,80k,16m,true,80m,lz4,128,false,33.0385,0
4,2,4,large,2,3g,4,1,1g,0.3,0.3,false,false,128k,4m,false,56m,snappy,128,false,26.996,0
4,2,4,large,1,1g,4,2,2g,0.6,0.7,false,true,64k,8m,true,48m,snappy,224,true,34.399,0
4,2,4,large,2,2g,3,1,2g,0.7,0.8,true,true,64k,6m,true,96m,lz4,224,true,25.968,0
4,2,4,large,1,3g,2,2,1g,0.5,0.7,true,false,32k,10m,false,88m,lz4,160,false,31.599,0
4,2,4,large,2,2g,4,4,1g,0.5,0.8,true,false,128k,14m,true,72m,lz4,256,false,26.139,0
4,2,4,large,2,3g,4,1,3g,0.7,0.5,true,true,32k,18m,false,64m,snappy,192,false,27.338,0
4,2,4,large,1,1g,4,1,2g,0.3,0.6,true,true,64k,4m,false,56m,lz4,192,true,32.9885,0
4,2,4,large,2,3g,2,4,2g,0.8,0.4,true,false,112k,10m,false,72m,snappy,160,true,27.267,0
