timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
3491,15.926804956900098,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,14.0,80.0,0,0,1,1,lz4
3492,15.903084438144163,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,1,lz4
3493,15.926804956900098,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,14.0,80.0,0,0,1,1,lz4
3494,15.903084438144163,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,1,lz4
3495,15.903084438144163,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,1,lz4
3496,16.576755137050448,4,3,2,0.5,0.8,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,1,lz4
3497,16.576755137050448,4,2,2,0.5,0.8,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,1,lz4
3498,16.582257901968145,4,2,2,0.5,0.8,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,0,lz4
3499,16.582257901968145,4,2,2,0.5,0.8,256,5120.0,3072.0,80.0,16.0,80.0,0,0,1,0,lz4
3500,16.63154590108323,4,2,2,0.5,0.8,256,5120.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3501,17.612435123539996,3,3,3,0.6,0.6,160,5120.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3502,17.625505069527648,3,3,3,0.6,0.6,160,5120.0,3072.0,80.0,12.0,72.0,1,1,1,1,snappy
3503,17.60938826345337,3,3,3,0.6,0.6,160,5120.0,3072.0,80.0,10.0,72.0,1,1,1,1,snappy
3504,17.60938826345337,3,3,3,0.6,0.6,160,5120.0,3072.0,80.0,8.0,72.0,1,1,1,1,snappy
3505,17.55152552653108,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,1,snappy
3506,17.55152552653108,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,1,snappy
3507,17.55152552653108,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,1,snappy
3508,17.527794801957302,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,0,snappy
3509,17.527794801957302,3,3,3,0.6,0.7,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,0,snappy
3510,19.02707368624854,2,3,3,0.6,0.7,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,0,snappy
3511,19.02707368624854,2,3,3,0.6,0.7,192,5120.0,3072.0,80.0,8.0,72.0,1,1,1,0,snappy
3512,19.02087996748017,2,3,3,0.6,0.7,192,5120.0,3072.0,80.0,8.0,72.0,0,1,1,0,snappy
3513,19.02087996748017,2,3,3,0.6,0.7,192,5120.0,3072.0,80.0,6.0,72.0,0,1,1,0,snappy
3514,19.01258981922179,2,3,3,0.6,0.7,192,5120.0,3072.0,80.0,6.0,80.0,0,1,1,0,snappy
3515,19.024608691770815,2,3,2,0.6,0.7,192,5120.0,3072.0,80.0,6.0,80.0,0,1,1,0,snappy
3516,19.063146538145116,2,3,2,0.6,0.7,192,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3517,19.063146538145116,2,3,2,0.6,0.7,192,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3518,19.063146538145116,2,3,2,0.6,0.7,192,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3519,19.05621987067678,2,3,2,0.6,0.7,224,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3520,19.104471220985424,2,3,2,0.6,0.7,256,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3521,19.104471220985424,2,3,2,0.6,0.7,256,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3522,19.088591237325293,2,3,3,0.6,0.7,256,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3523,19.072036509491394,2,3,3,0.5,0.7,256,5120.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3524,19.65050205383646,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3525,19.65050205383646,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3526,19.65050205383646,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,8.0,80.0,0,1,1,0,snappy
3527,19.65050205383646,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,8.0,80.0,0,1,1,0,snappy
3528,19.654946691182136,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,8.0,72.0,0,1,1,0,snappy
3529,19.654946691182136,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,8.0,72.0,0,1,1,0,snappy
3530,19.654946691182136,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,6.0,72.0,0,1,1,0,snappy
3531,19.65050205383646,2,3,3,0.5,0.7,256,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3532,19.602250703527815,2,3,3,0.5,0.7,224,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3533,19.602250703527815,2,3,3,0.5,0.7,224,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3534,19.676868880168563,2,3,3,0.5,0.7,224,6144.0,2048.0,64.0,6.0,80.0,0,1,1,0,snappy
3535,19.676868880168563,2,3,3,0.5,0.7,224,6144.0,2048.0,64.0,6.0,80.0,0,1,1,0,snappy
3536,19.67028882615622,2,3,4,0.5,0.7,224,6144.0,2048.0,64.0,6.0,80.0,0,1,1,0,snappy
3537,19.595670649515473,2,3,4,0.5,0.7,224,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,snappy
3538,19.595670649515473,2,3,4,0.5,0.7,224,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,lz4
3539,19.645351191041847,2,3,4,0.5,0.6,224,6144.0,3072.0,64.0,6.0,80.0,0,1,1,0,lz4
